track,start,end,event,channel,note,velocity,name
1,1,2,Note_on,1,65,63,F4
1,2,3,Note_on,1,67,63,G4
1,3,3,Note_on,1,69,63,A4
1,4,4,Note_on,1,65,63,F4
1,5,5,Note_on,1,65,63,F4
1,5,6,Note_on,1,67,63,G4
1,6,7,Note_on,1,69,63,A4
1,7,8,Note_on,1,65,63,F4
1,8,9,Note_on,1,69,63,A4
1,9,10,Note_on,1,70,63,B-4
1,10,11,Note_on,1,72,63,C5
1,12,13,Note_on,1,69,63,A4
1,13,13,Note_on,1,70,63,B-4
1,14,15,Note_on,1,72,63,C5
1,15,16,Note_on,1,72,63,C5
1,16,16,Note_on,1,74,63,D5
1,16,16,Note_on,1,72,63,C5
1,17,17,Note_on,1,70,63,B-4
1,17,17,Note_on,1,69,63,A4
1,18,18,Note_on,1,65,63,F4
1,19,19,Note_on,1,72,63,C5
1,19,19,Note_on,1,74,63,D5
1,19,20,Note_on,1,72,63,C5
1,20,20,Note_on,1,70,63,B-4
1,20,21,Note_on,1,69,63,A4
1,21,21,Note_on,1,65,63,F4
1,22,23,Note_on,1,67,63,G4
1,23,23,Note_on,1,60,63,C4
1,24,25,Note_on,1,65,63,F4
1,25,26,Note_on,1,67,63,G4
1,26,27,Note_on,1,60,63,C4
1,27,28,Note_on,1,65,63,F4
